"Tool #","Tool Group","Number","Cut Dia","Overall Length","LOC","(S)tub / (J)obber","ANSICatalogNumber","Approved Brand","Backside Capable","BodyDia","BottomCut","BottomRelief","CenterCut","Classification Marking","Classification Markings","Coating","CornerRad","Cost","Created At","Made Of","Custom Grind","Custom Ground Notes","Cutting Direction","Description","Diameter of Ball (DK)","Diameter Range","Diametral Knurl Value","Double Ended","SK Size","Face to Tip Value","FluteType/Chipbreaker","Full Profile","Grooving Insert Width","Quantity Verified","HelixAngle","Holder","Insert Corner Radius","InsertInscribedCirle","InsertReliefAngle","InsertShape","Insert Thickness","Insert Tip to Center Line of Shank","InsertTolerance","Insert Type","Inspection Certified","ISO Catalog Number","Lead Angle","Lead time","Length Below Holder - MIN OOH","Length Under Ball (ML)","Location","Max Back Angle","Max Offset Drill","Max Z Depth","Min Bore Diameter","Nomenclature","No. of Cutting Corners","No.ofFlutes","Pictures","Pitch","Pocket Geometry","Point Type","Totalin Shop","Recommended Pre-drill Size","Recommended Workpiece Material","Relieved Shank Diameter","Round Shank","Shaft Diameter (DS)","Shaft Material","Shank Diameter","Size Name","Sphere Material","Size of Square on Tap","Status","Tap class","Taper","Thread","Threaded Adapter Diameter (DG)","Threads Per Inch","Thread Type","Through Coolant","Tip Angle","Tip Diameter","Tip to 1st Full Thread","Drawer Location","Tool Material","TopCut","TopRelief","TPI Circular Pitch","Type Straight or Diagonal","Vendor","EDP#","RTA List"
"D-174","D","174","0.213","3.228","1.065","J","","HAAS","false","","","","","","","TiAIN","","67.95","1/22/2026; 03:29:58 PM","","","","","#3 Drill .213Ø TSC 1.065LOC","","","","","","","","false","","","30","","","","","","","","","","false","","","","","","167","","","","","","","2","table 2 items","","","Split Point","4","","","","","","","0.236","","","","Active","","","","","","","false","140","","","","CARB","","","","","HAA1","03-0835",""
"F-175","F","175","0.173","2.75","0.875","","","M.A.FORD","false","","","","N","","","NOne","","47.58","1/22/2026; 04:57:12 PM","","","","","#17 Reamer .173Ø","","","","","","","","false","","","","","","","","","","","","","false","","","","","","168","","","","","","","","table 2 items","","","Bottoming","0",".16781","","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","00244848",""
"A-176","A","176","0.125","1.5","0.4375","","","Haas","false","","","","Y","","","NONE","","14.97","1/22/2026; 05:00:20 PM","","","","","1/8Ø Endmill 3fL .4375LOC  Uncoated","","","","N","","","","false","","","37","","","","","","","","","","false","","","","","","169","","","","","","","3","table 2 items","","","","4","","AL","","","","","0.125","","","","Active","","","","","","","false","","","","","CARB","","","","","HAA1","03-0081",""
"D-177","D","177","0.1457","2.598","0.5512","S","","Haas","false","","","","","","","TiAIN","","26.95","1/23/2026; 01:39:00 PM","","","","","3.7mm Drill  .5512 LOC Minor For M4x.7","","","","","","","","false","","","30","","","","","","","","","","false","","","","","","170","","","","","","","2","table 2 items","","","Split Point","5","","","","","","","0.236","","","","Active","","","","","","","false","140","","","","CARB","","","","","HAA1","03-1266",""
"D-178","D","178","0.161","","0.669","S","","HAAS","false","","","","","","","TIALN","","29.95","1/23/2026; 02:46:26 PM","","","","","#20 Drill .161""Ø 140 Deg .669LOC","","","","","","","","false","","","30","","","","","","","","","","false","","","","","","171","","","","","","","2","table 2 items","","","Split Point","1","","","","","","","0.236","","","","Active","","","","","","","false","140","","","","CARB","","","","","HAA1","03-0707",""
"D-179","D","179","0.228","","1.732","","","","false","","","","","","","","","37.00","1/29/2026; 10:27:26 AM","","","","","Ø#1 .228 Carbide Drill","","","","","","","","false","","","","","","","","","","","","","false","","","","","","172","","","","","","","2","table 2 items","","","","3","","","","","","","6 mm","","","","Active","","","","","","","false","140","","","","CARB","","","","","HAA1","03-3263",""
"A-180","A","180","0.1875","2.0","0.5625","","","HARVEY","false","","","","Y","","","C10","0.0236","72.40","1/31/2026; 02:25:20 PM","","","","","3/16Ø High Feed mill .562LOC","","","","N","","","","false","","","","","","","","","","","","","false","","","","","","174","","","","","","","4","table 2 items","","","","3","","High temp alloys","","","","","0.25","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","75152678",""
"A-180","A","","","","","","","Harvey","false","","","","Y","","","C10","","72.40","1/31/2026; 02:25:20 PM","","","","","3/16Ø High Feed mill .562LOC","","","","N","","","","false","","","","","","","","","","","","","false","","","","","","174","","","","","","","","table 2 items","","","","","","High temp alloys","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","JON1","712412-C10",""
"A-180","A","","","","","","","Harvey","false","","","","Y","","","C10","","","1/31/2026; 02:25:20 PM","","","","","3/16Ø High Feed mill .562LOC","","","","N","","","","false","","","","","","","","","","","","","false","","","","","","174","","","","","","","","table 2 items","","","","","","High temp alloys","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","BUT1","712412-C10",""
"A-181","A","181","0.1875","2.0","0.285","","","HArvey","false","","","","Y","","","C6","0.025","49.91","1/31/2026; 02:29:17 PM","","","","","3/16Ø Bull .025R .285 LOC 4fl","","","","N","","","","false","","","","","","","","","","","","","false","","","","","","175","","","","","","","4","table 2 items","","","","2","","HIgh temp alloys","","","","","0.1875","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","82836271",""
"A-181","A","","","","","","","Harvey","false","","","","Y","","","C6","","47.00","1/31/2026; 02:29:17 PM","","","","","3/16Ø Bull .025R .285 LOC 4fl","","","","N","","","","false","","","","","","","","","","","","","false","","","","","","175","","","","","","","","table 2 items","","","","","","HIgh temp alloys","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","JON1","749412-C6",""
"A-181","A","","","","","","","Harvey","false","","","","Y","","","C6","","","1/31/2026; 02:29:17 PM","","","","","3/16Ø Bull .025R .285 LOC 4fl","","","","N","","","","false","","","","","","","","","","","","","false","","","","","","175","","","","","","","","table 2 items","","","","","","HIgh temp alloys","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","BUT1","749412-C6",""
"A-182","A","182","0.375","3.0","0.8248","","","Fraisa","false","","","","Y","","","","0.008","115.92","2/5/2026; 01:53:28 PM","","","","","3/8 AXFPS Bull .008R 95500432 .8248LOC","","","","N","","","Roughing","false","","","","","","","","","","","","","false","","","","1.28","","176","","","","","","","3","table 2 items","","","","6","","","","","","","0.375","","","","Active","","","","","","","false","","","","","CARB","","","","","FRA1","95500432",""
"D-183","D","183","0.199","3.67","2.28","J","","Haas","false","","","","","","","Tin","","29.9","2/6/2026; 11:17:43 AM","","","","","#8  .199 Cobolt HSS Drill index","","","","","","","","false","","","30","","","","","","","","","","false","","","","2.5","","10000","","","","","","","2","table 2 items","","","Split Point","","","","","","","","0.197","","","","Active","","","","","","","false","135","","","","COBALT","","","","","HAA1","03-0291",""
"O-184","O","184","0.5","2.5","0.25","","","MIcro 100","false","","","","","","","NOne","","76.30","2/6/2026; 12:05:57 PM","","","","","1/2Ø Spot 82 deg Split point","","","","","","","","false","","","","","","","","","","","","","false","","","","1.1","","177","","","","","","","2","table 2 items","","","Split Point","1","","ANY","","","","","0.5","","","","Active","","","","","","","false","82","","","","CARB","","","","","MSC1","93144269",""
"D-185","D","185","0.0984","","0.295","","","Mikron crazy drill","false","","","","","","","","","86.75","2/10/2026; 03:50:44 PM","","","","",".0984Ø Pilot .295LOC 140Deg","","","","","","","","false","","","","","","","","","","","","","false","","","","","","178","","","","","","","2","table 2 items","","","Split Point","1","","","","","","","0.157","","","","Active","","","","","","","false","140","","","","CARB","","","","","BUT1","2.PD.05000.090",""
"D-186","D","186","0.0984","2.44","0.492","S","","Mikron","false","","","","","","","","","101.62","2/10/2026; 04:05:22 PM","","","","",".0984Ø Drill 140Deg Crazy drill 3fl","","","","","","","","false","","","","","","","","","","","","","false","","","","0.88","","179","","","","","","","3","table 2 items","","","Split Point","1",".0984","","","","","","0.1575","","","","Active","","","","","","","false","140","","","","CARB","","","","","BUT1","2.CD.050250.A",""
"H-187","H","187","1.0","2.1875","0.0625","","","","false","","","","N","","","None","Sharp","64.87","2/11/2026; 03:49:27 PM","","","","","1""Ø Keycutter 1/16 Kerf .5 Shank","","","","N","","","","false","","","","","","","","","","","","","false","","","","","","180","","","","","","","16","table 2 items","","","","1","","AL","","","","","0.5","","","","Active","","","","","","","false","","","","","HSS","","","","","MSC1","07006604",""
"A-188","A","188","0.375","","1.00","","","GARR","false","","","","","","","","0.02","","2/12/2026; 04:24:09 PM","","","","","3/8 7FL EM .02R Rougher","","","","","","","Roughing","false","","","","","","","","","","","","","false","","","","","","182","","","","","","","7","table 2 items","","","","5","","ST, SS","","","","","0.375","","","","Active","","","","","","","false","","","","","CARB","","","","","BUT1","64302",""
"L-189","L","189","0.125","","0.1875","","","Harvey","false","","","","","","","","","","2/16/2026; 02:11:04 PM","","","","","1/8 Corner Chamfer .02"" EM 4FL","","","","","","","","false","","","","","","","","","","","","","false","","","","","","181","","","","","","","4","table 2 items","","","","6","","","","","","","0.125","","","","Active","","45","","","","","false","","0.085","","","CARB","","","","","Harvey","727108",""
"L-189","L","","","","","","","","false","","","","","","","","","31.70","2/16/2026; 02:11:04 PM","","","","","1/8 Corner Chamfer .02"" EM 4FL","","","","","","","","false","","","","","","","","","","","","","false","","","","","","181","","","","","","","","table 2 items","","","","","","","","","","","","","","","Active","","","","","","","false","","0.085","","","CARB","","","","","MSC1","04999975",""
"L-189","L","","","","","","","Harvey","false","","","","","","","","","","2/16/2026; 02:11:04 PM","","","","","1/8 Corner Chamfer .02"" EM 4FL","","","","","","","","false","","","","","","","","","","","","","false","","","","","","181","","","","","","","","table 2 items","","","","","","","","","","","","","","","Active","","","","","","","false","","0.085","","","CARB","","","","","BUT1","727108",""
"D-190","D","190","0.3906","","","","","","false","","","","","","","","","","2/19/2026; 09:16:49 AM","","","","","25/64 (.3906) HSS Drill","","","","","","","","false","","","","","","","","","","","","","false","","","","","","1000","","","","","","","2","","","","","","","","","","","","0.3906","","","","Active","","","","","","","false","135","","","","COBALT","","","","","HAA1","",""
"R-191","R","191","0.375","","1.25","","","","false","","","","","","","","","22.12","2/20/2026; 03:19:51 PM","","","","","3/8-16 Cut Tap","","","","","","","","false","","","","","","","","","","","","","false","","","","1.58","","183","","","","","","","3","table 2 items","","","Bottoming","0",".3125","","","","","","","","","","Active","","","3/8-16","","","Cut","false","","","","","","","","","","MCM1","2529A56",""
"A-192","A","192","0.0781","2.0","0.2343","","","Harvey","false","","","","Y","","","C10","","61.60","2/24/2026; 01:54:57 PM","","","","","Ø.0781 High feed .2343 Reach","","","","N","","","Roughing","false","","","","","","","","","","","","","false","","","","","","184","","","","","","","4","table 2 items","","","","3","","High temp alloy",".0687","","","","0.25","","","","Active","","","","","","","false","","","","","CARB","","","","","JON1","712378-C10",""
"A-192","A","","","","","","","Harvey","false","","","","Y","","","C10","","64.66","2/24/2026; 01:54:57 PM","","","","","Ø.0781 High feed .2343 Reach","","","","N","","","Roughing","false","","","","","","","","","","","","","false","","","","","","184","","","","","","","","table 2 items","","","","","","High temp alloy","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","75152454",""
"A-192","A","","","","","","","Harvey","false","","","","Y","","","C10","","","2/24/2026; 01:54:57 PM","","","","","Ø.0781 High feed .2343 Reach","","","","N","","","Roughing","false","","","","","","","","","","","","","false","","","","","","184","","","","","","","","table 2 items","","","","","","High temp alloy","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","BUT1","712378-C10",""
"A-193","A","193","0.375","3.0","2.0","","","Fraisa","false","","","","Y","","","YES","0.008","","3/2/2026; 09:48:47 AM","","","","","3/8Ø Bull CB .008R 4fl Fraisa rougher","","","","N","","","","false","","","","","","","","","","","","","false","","","","2.25","","185","","","","","","","4","table 2 items","","","","1","","steels","","","","","0.375","","","","Active","","","","","","","false","","","","","CARB","","","","","FRA1","P98320432",""
"TF-194","TF","194","","","","","","","false","","","","","","","","","72.17","3/3/2026; 02:44:24 PM","","","","","55° Turning Tool MDJNR12-4B","","","","","","","","false","","","","","","","","","","","","","false","","","","","","2000","","","","","","","","table 2 items","","","","","","","","False","","","","","","","Active","","","","","","","false","","","","","","","","","","HAA1","01-0054",""
"TO-195","TO","195","","","","","DNMG431-HUF","","false","","","","","","","HTP25","","","3/3/2026; 02:47:24 PM","","","","","55° Turning Tool - ST - DNMG431-HUF","","","","","","","","false","","","","",".0157","1/2""","N 0deg","D",".187","","M","D Style - 55° Rhombic","false","DNMG150404-HUF","","33.20","","","186","","","","","","4","","table 2 items","","","","5","","ST, Cast Iron","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","HAA1","02-0097",""
"A-196","A","196","0.394","","0.984","","","","false","","","","","","","uncoated","","23.72","3/5/2026; 03:30:52 PM","","","","","10mm(.394) .02R 3FL Bull EM","","","","","","","","false","","","","","","","","","","","","","false","","","","","","187","","","","","","","3","table 2 items","","","","3","","AL","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","HAA1","03-1012",""
"D-197","D","197","0.125","","0.906","","","","false","","","","","","","","","38.90","3/5/2026; 03:34:37 PM","","","","","1/8 (.125) CARB Drill 140° TSC","","","","","","","","false","","","","","","","","","","","","","false","","","","","","188","","","","","","","2","table 2 items","","","","2","","","","","","","","","","","Active","","","","","","","false","140","0.125","","","CARB","","","","","HAA1","03-2927",""
"M-198","M","198","0.25","","0.05","","","Internal Tool","true","","","","","","","","","51.08","3/5/2026; 03:44:29 PM","","","","",".25"" x 45° Double Angle Cutter","","","","","","","","false","","","","","","","","","","","","","false","","","","","","189","","","","","","","4","","","","","","","","","","","","","","","","Active","","","","","","","false","","0.25","","","CARB","","","","","CAM1","92-1525",""
"A-199","A","199","0.1875","2.0","0.625","","","Accupro","false","","","","Y","","","ALTiN","","17.16","3/12/2026; 02:33:43 PM","","","","","3/16"" EM 4FL .625""LOC","","","","","","","","false","","","40","","","","","","","","","","false","","","","","","190","","","","","","","4","table 2 items","","","","4","","Steel, SS","","","","","0.1875","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","01982321",""
"B-200","B","200","0.25","4.0","1.0","","","TITAN USA","false","","","","Y","","","NONE","0.125","35.11","3/12/2026; 03:37:19 PM","","","","","1/4 Ball 1""LOC 3fl 30 deg","","","","N","","","","false","","","30","","","","","","","","","","false","","","","1.2","","191","","","","","","","3","table 2 items","","","","3","","AL","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","20342127",""
"A-201","A","201","0.75","6.0","1.0","","","Helical","false","","","","Y","","","NONE","0.125","313.00","3/16/2026; 05:44:29 PM","","","","","3/4 Bull .125 Reduced shank 1""LOC 3.375Reach 3fl","","","","N","","","","false","","","40","","","","","","","","","","false","","","","3.4","","192","","","","","","","3","table 2 items","","","","2","","Al",".712","","","","0.75","","","","Active","","","","","","","false","","","","","CARB","","","","","BUT1","46610",""
"A-201","A","","","","","","","Helical","false","","","","Y","","","NONE","","328.14","3/16/2026; 05:44:29 PM","","","","","3/4 Bull .125 Reduced shank 1""LOC 3.375Reach 3fl","","","","N","","","","false","","","","","","","","","","","","","false","","","","","","192","","","","","","","","table 2 items","","","","","","Al","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","99102618",""
"F-202","F","202","0.3745","7","1.75","","","","false","","","","","","","NONE","","55.89","3/17/2026; 09:05:18 AM","","","","",".3745 Reamer","","","","","","","","false","","","","","","","","","","","","","false","","","","","","193","","","","","","","6","table 2 items","","","Bottoming","2","","AL","","","","","0.3105","","","","Active","","","","","","","false","45","","","","CARB","","","","","MSC1","02558385",""
"D-203","D","203","0.1719","","","","","Accupro","false","","","","","","","","","56.73","3/24/2026; 03:50:37 PM","","","","","11/64 (.1719) Carbide Drill TSC","","","","","","","","false","","","","","","","","","","","","","false","","","","","","194","","","","","","","2","table 2 items","","","","3","","","","","","","","","","","Active","","","","","","","false","140","","","","CARB","","","","","MSC1","62760707",""
"D-204","D","204","0.2756","","2.519","","","Haas","false","","","","","","","","","98.75","3/24/2026; 03:55:03 PM","","","","","7mm (.2756) Ø Carbide Drill TSC","","","","","","","","false","","","","","","","","","","","","","false","","","","3.1","","195","","","","","","","2","table 2 items","","","","3","","","","","","","0.3149","","","","Active","","","","","","","false","140","","","","CARB","","","","","HAA1","03-0931",""
"A-205","A","205","0.500","4.00","1.625","","","Helical","false","","","","Y","","","TPLUS","","","3/24/2026; 04:00:09 PM","","","","","1/2 4FL EM 1.625LOC ST","","","","","","","","false","","","","","","","","","","","","","false","","","","","","196","","","","","","","4","table 2 items","","","","0","","SS","","","","","0.500","","","","Active","","","","","","","false","","","","","CARB","","","","","BUT1","82273",""
"O-206","O","206","0.25","2.5","","","","Micro 100","false","","","","","","","NONE","","34.80","3/31/2026; 02:27:40 PM","","","","",".25Ø Spot 100deg","","","","","","","","false","","","","","","","","","","","","","false","","","","","","197","","","","","","","2","table 2 items","","","Split Point","1","","","","","","","","","","","Active","","","","","","","false","100","","","","CARB","","","","","MSC1","81515686",""
"B-207","B","207","0.0625","1.5","0.1875","","","ACCUPRO","false","","","","Y","","","ALTIN","","17.96","3/31/2026; 02:44:48 PM","","","","","1/16 Ø Ball 3/16LOC 4fl","","","","N","","","","false","","","40","","","","","","","","","","false","","","","0.5","","198","","","","","","","4","table 2 items","","","","4","","","","","","","0.125","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","MSC# 09137498",""
"R-208","R","208","0.138","","","","","OSG","false","","","","","","","","","","4/9/2026; 12:34:46 PM","","","","","6-32 FORM TAP MB - SS","","","","","","","","false","","","","","","","","","","","","","false","","","","","","199","","","","","","","","table 2 items","","","Modified Bottoming","5",".106","SS","","","","","0.141","","","","Active","H3","","#6-32","","","Form","false","","","0.09","","","","","","","OSG","1625006323",""
"R-208","R","","","","","","","","false","","","","","","","","","82.21","4/9/2026; 12:34:46 PM","","","","","6-32 FORM TAP MB - SS","","","","","","","","false","","","","","","","","","","","","","false","","","","","","199","","","","","","","","table 2 items","","","Modified Bottoming","",".106","SS","","","","","","","","","Active","H3","","#6-32","","","Form","false","","","0.09","","","","","","","MSC1","77389278",""
"D-209","D","209","0.166","","1.142","","","","false","","","","","","","","","55.05","4/9/2026; 03:40:33 PM","","","","","#19 .166 CARB 140 DRILL TSC","","","","","SK13","","","false","","","","","","","","","","","","","false","","","","","","200","","","","","","","2","table 2 items","","","","3","","","","","","","0.236","#19","","","Active","","","","","","","false","140","","","","","","","","","HAA1","03-0879",""
"B-210","B","210","0.03125","1.5","0.125","","","OSG","false","","","","Y","","","TIALN","","28.77","4/12/2026; 08:01:09 PM","","","","","1/32 Ball 1/8LOC 4 fl","","","","N","","","","false","","","30","","","","","","","","","","false","","","","","","201","","","","","","","4","table 2 items","","","","4","","","","",".125","","","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","01417401",""
"F-211","F","211","0.374","5.0","1.75","","","HERTEL","false","","","","N","","","none","","44.16","4/13/2026; 10:47:28 AM","","","","",".374 Reamer","","","","N","","","","false","","","","","","","","","","","","","false","","","","","","202","","","","","","","6","table 2 items","","","Bottoming","",".363","AL","","","","","","","","","Active","","","","","","","false","45","","","","HSS","","","","","MSC1","",""
"A-212","A","212","0.125","1.5","0.1875","","","Harvey","false","","","","Y","","","ALTin","0.025","38.50","4/17/2026; 05:38:51 PM","","","","","1/8 Ø Bull .025R 3/16LOC 4FL","","","","N","","","","false","","","30","","","","","","","","","","false","","","","","","203","","","","","","","4","table 2 items","","","","4","","Steel","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","92627082",""
"A-212","A","","","","","","","Harvey","false","","","","Y","","","ALTin","","38.50","4/17/2026; 05:38:51 PM","","","","","1/8 Ø Bull .025R 3/16LOC 4FL","","","","N","","","","false","","","","","","","","","","","","","false","","","","","","203","","","","","","","","table 2 items","","","","","","Steel","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","BUT1","980225-C3",""
"K-213","K","213","0.125","1.5","0.04","","","ACCupro","false","","","","N","","","NONE","0.04","30.71","4/20/2026; 11:02:56 AM","","","","","1/8Ø corner round .04R .045PilotØ","","","","Y","","","","false","","","NONE","","","","","","","","","","false","","","","","","204","","","","","","","","table 2 items","","","","2","","","","","","","0.125","","","","Active","","","","","","","false","","","","","","","","","","MSC1","01176775",""
"R-214","R","214","","2.375","","","","OSG","false","","","","","","","EKLECTRALUBE","","33.63","4/20/2026; 11:15:11 AM","","","","","10-32 STI tap bottoming","","","","","","","","false","","","50","","","","","","","","","","false","","","","","","205","","","","","","","3","table 2 items","","","Bottoming","2",".201 -.203","AL","","","","","","","","","Active","STI","","","","","Spiral Cut","false","","","0.087","","HSS","","","","","MSC1","65058836",""
"D-215","D","215","0.177","3.4","1.8","S","","HAAS","false","","","","","","","Tin","","20.97","4/20/2026; 11:41:12 AM","","","","","#16 Drill index (10pk)","","","","","","","","false","","","30","","","","","","","","","","false","","","","2.25","","10000","","","","","","","2","table 2 items","","","","","","AL","","","","","0.175","","","","Active","","","","","","","false","135","","","","COBALT","","","","","HAA1","03-0299",""
"D-216","D","216","0.203","3.67","2.0","S","","Haas","false","","","","","","","","","29.97","4/20/2026; 12:06:15 PM","","","","",".203Ø 13/64 Cobolt Drill index (10PK)","","","","","","","","false","","","30","","","","","","","","","","false","","","","2.5","","10000","","","","","","","2","table 2 items","","","Split Point","","","","","","","","0.2015","","","","Active","","","","","","","false","135","","","","COBALT","","","","","HAA1","03-0349",""
"A-217","A","217","0.375","2.5","1.0","","","McMaster-Carr","false","0.375","","","Y","","","UC","0.125","59.00","4/21/2026; 04:11:41 PM","","","","","0.375 BULL R0.125 3FL 1LOC AL","","","","N","","","Finishing","false","","","40","","","","","","","","","","false","","","","","","206","","","","","","","3","table 2 items","","","","3","","AL","","true","","","0.375","","","","","","","","","","","false","","","","","carbide","","","","","MCM1","8182N32",""
"A-217","A","","","","","","","OSG","false","","","","Y","","","UC","","","4/21/2026; 04:11:41 PM","","","","","0.375 BULL R0.125 3FL 1LOC AL","","","","N","","","Finishing","false","","","","","","","","","","","","","false","","","","","","206","","","","","","","","table 2 items","","","","","","AL","","true","","","","","","","","","","","","","","false","","","","","carbide","","","","","","VGM3-0025",""
"I-218","I","218","1.5","4.0","0.281","","","ISCAR","false","","","","","","","","","741.00","4/22/2026; 09:18:12 AM","","","","","1.5"" Ø Indexable Slot .281 Kerf","","","","","","","","false","","","","","","","","","","","","","false","","","","3.0","","207","","","","","","","6","table 2 items","","","","","","","","","","","0.625","","","","Active","","","","","","","true","","","","","CARB","","","","","MSC1","45386877","24"
"G-219","G","219","","","0.270","","","ISCAR","false","","","","","","","IC928","0.0157","281","4/22/2026; 09:26:20 AM","","","","","Slot tool insert  LNET 084204-TN-N IC928","","","","","","","","false","","","","","","","","","","","","","false","","","","","","208","","","","","","","","table 2 items","","","","","","Steel","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","91161133","24"
"A-220","A","220","0.375","6.0","0.5","","","Helical","false","","","","Y","","","ZPLUS","sharp","94.51","4/22/2026; 10:38:04 AM","","","","","3/8Ø LR EM  .5LOC  3.125 reach","","","","N","","","","false","","","40","","","","","","","","","","false","","","","","","209","","","","","","","3","table 2 items","","","","2","","AL",".356","","","","0.375","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","11473014",""
"A-220","A","","","","","","","Helical","false","","","","Y","","","ZPLUS","","90.10","4/22/2026; 10:38:04 AM","","","","","3/8Ø LR EM  .5LOC  3.125 reach","","","","N","","","","false","","","","","","","","","","","","","false","","","","","","209","","","","","","","","table 2 items","","","","","","AL","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","BUT1","82480",""
"R-221","R","221","","2.0","","","","BALAX","false","","","","","","","NONE","","20.01","4/23/2026; 08:37:13 AM","","","","","#6-32 form tap Bottom H5","","","","","","","","false","","","","","","","","","","","","","false","","","","","","210","","","","","","","","table 2 items","","","Bottoming","4","","","","","","","","","","","Active","","","","","","Form","false","","","","","HSS","","","","","MSC1","49710858",""
"D-222","D","222","0.136","2.875","1.75","","","Haas Tooling","false","0.136","","","true","","","TiN","0","","4/23/2026; 10:52:20 AM","","","","","#29 (.136) 135DEG DRILL","","","","","","","","false","","","30","","","","","","","","","","false","","","","1.92","","1000","","","","","","","2","","","","","","","P","","true","","","0.136","","","","","","","","","","","false","135","","","","COBALT","","","","","","03-0312",""
"G-223","G","223","","","","","","Kennametal","false","","","","","","","KCPM40","","","4/30/2026; 01:21:00 PM","","","","","Kenn. 45 ST Mill Insert","","","","","","","","false","","","","","","","","","","","","","false","","","","","","212","","","","","","","","table 2 items","","","","","","P, M, S","","","","","","","","","Active","","","","","","","false","","","","","","","","","","JON1","7033336","25"
"I-224","I","224","2.5","","0.127","","","Kennametal","false","2.821","","","","","","","","","4/30/2026; 01:24:53 PM","","","","","2.5"" Dodeka Kenn Face Mill","","","","","","","","false","","","","","","","","","","","","","false","","","","","","213","","","","","","","6","table 2 items","","","","","","","","","","","","","","","Active","","","","","","","false","","","","","","","","","","JON1","4130432","25"
"N-225","N","225","0.3125","2.5","","","","Harvey","false","","","","","","","NONE","","91.52","4/30/2026; 01:55:00 PM","","","","","5/16Ø Key Cutter 5/64 Kerf","","","","","","","","false","","","","","","","","","","","","","false","","","","","","211","","","","","","","6","table 2 items","","","","5","","","","","","","0.156","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","63107023",""
"N-225","N","","","","","","","Harvey","false","","","","","","","NONE","","","4/30/2026; 01:55:00 PM","","","","","5/16Ø Key Cutter 5/64 Kerf","","","","","","","","false","","","","","","","","","","","","","false","","","","","","211","","","","","","","","table 2 items","","","","","","","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","BUT1","22440",""
"A-226","A","226","0.1875","2.25","0.5625","","","OSG","false","0.1875","","","Y","","","AlTiN","0.03","","4/30/2026; 02:53:48 PM","","","","Right Hand","3/16 (.1875) BULL R.03 5FL .5625LOC","","","","","","","","false","","","40","","","","","","","","","","false","","","","","","214","","","","","","","5","table 2 items","","","","2","","P, M, K, S","","true","","","0.1875","","","","","","","","","","","false","","","","","carbide","","","","","","VGM5-0034",""
"A-226","A","","","","","","","OSG","false","","","","Y","","","AlTiN","","19.89","4/30/2026; 02:53:48 PM","","","","Right Hand","3/16 (.1875) BULL R.03 5FL .5625LOC","","","","","","","","false","","","","","","","","","","","","","false","","","","","","214","","","","","","","","table 2 items","","","","","","P, M, K, S","","true","","","","","","","","","","","","","","false","","","","","carbide","","","","","MSC1","13846365",""
"O-227","O","227","0.2362","1.9685","0.1181","","","Haas Automation","false","0.2362","","","true","","","UC","0","13.27","5/4/2026; 04:30:04 PM","","","","Right Hand","6mm (.236) SPOT DRILL 90DEG","","","","","","","","false","","","","","","","","","","","","","false","","","","0.1181","","215","","","","","","","2","table 2 items","","","","3","","P, K, M, N, S","","true","","","0.2362","","","","Active","","90","","","","","false","90","","","","carbide","","","","","Haas Automation","03-1879",""
"F-228","F","228","0.1875","2.75","0.875","","","Hertel","false","0.1875","","","false","","","UC","0","47.37","5/5/2026; 04:33:23 PM","","","","Right Hand","3/16 (.1875) 4FL CARB REAMER","","","","","","","","false","","","","","","","","","","","","","false","","","","","","216","","","","","","","4","table 2 items","","","","2","","P, N, M, S","","true","","","","","","","Active","","","","","","","false","","","","","carbide","","","","","MSC1","59904466",""
"F-228","F","","","","","","","","false","","","","false","","","UC","","","5/5/2026; 04:33:23 PM","","","","Right Hand","3/16 (.1875) 4FL CARB REAMER","","","","","","","","false","","","","","","","","","","","","","false","","","","","","216","","","","","","","","table 2 items","","","","","","P, N, M, S","","true","","","","","","","Active","","","","","","","false","","","","","carbide","","","","","","",""
